,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2010-03-01,-0.1,-0.1,-0.1,0.20000001,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.39999999
2010-04-01,-0.1,-0.1,-0.1,0.2,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.39999999
2010-05-01,-0.09999999,-0.09999999,-0.09999999,0.3466165,0.4,-0.1,-0.09999999,-0.09999999,0.4,-0.09999999,0.39999999,-0.09999999,-0.09999999,-0.1,-0.09999998,0.4,-0.1,0.25338343
2010-06-01,-0.1,-0.1,-0.09999999,0.27614751,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.09999999,-0.1,-0.09999999,0.4,-0.1,0.32385245
2010-07-01,-0.1,-0.1,-0.1,0.2,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.4
2010-08-01,-0.1,-0.1,-0.09999999,0.20000005,0.4,-0.1,-0.1,-0.1,0.39999999,-0.1,0.39999999,-0.1,-0.1,-0.1,-0.09999999,0.4,-0.1,0.39999994
2010-09-01,-0.1,-0.1,-0.1,0.20000001,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.39999999
2010-10-01,-0.1,-0.1,-0.1,0.19999999,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.4
2010-11-01,-0.1,-0.1,-0.1,0.19999998,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.09999999,0.4,-0.1,0.39999999
2010-12-01,-0.1,-0.1,-0.1,0.39249516,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.09999999,0.4,-0.1,0.20750482
2011-01-01,-0.1,-0.1,-0.1,0.20000049,0.4,-0.1,-0.1,-0.1,0.4,-0.09999999,0.4,-0.1,-0.1,-0.1,-0.09999998,0.4,-0.1,0.39999947
2011-02-01,-0.1,-0.1,-0.1,0.2,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.09999999,0.4,-0.1,0.39999998
2011-03-01,-0.1,-0.1,-0.1,0.2,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.09999999,0.4,-0.1,0.39999998
2011-04-01,-0.1,-0.1,-0.1,0.2,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.4
2011-05-01,-0.1,-0.09999999,-0.09999999,0.20000015,0.4,-0.1,-0.09999999,-0.1,0.4,-0.09999999,0.39999999,-0.09999999,-0.1,-0.1,-0.09999998,0.4,-0.1,0.3999998
2011-06-01,-0.1,-0.09999999,-0.09999999,0.39999776,0.4,-0.1,-0.09999999,-0.1,0.4,-0.09999999,0.4,-0.09999999,-0.09999999,-0.1,-0.09999999,0.4,-0.1,0.20000218
2011-07-01,-0.1,-0.1,-0.1,0.27499011,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.32500988
2011-08-01,-0.1,-0.1,-0.1,0.20000052,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.39999999,-0.1,-0.1,-0.1,-0.09999999,0.4,-0.1,0.39999945
2011-09-01,-0.1,-0.1,-0.1,0.20000015,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.39999985
2011-10-01,-0.1,-0.1,-0.1,0.2,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.39999997
2011-11-01,-0.1,-0.1,-0.1,0.2,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.4
2011-12-01,-0.1,-0.1,-0.1,0.2,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.4
2012-01-01,-0.1,-0.1,-0.1,0.2,0.4,-0.1,-0.1,-0.1,0.4,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,0.4,-0.1,0.4
