Time Period,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2000-02,0.043574,0.027681,0.044238,0.025059,-0.006406,0.001121,0.028104,0.033322,0.001375,0.026026,0.034108,0.01296,0.016606,0.024526,-0.00399,0.059978,0.021898,0.04034
2000-03,0.029226,0.017557,-9.1e-05,0.012542,-0.009253,0.005861,0.017848,-0.033535,-0.008304,0.020401,0.02613,0.004126,0.00394,0.01433,-0.004251,0.054255,0.016249,0.02771
2000-04,0.021831,0.018359,-0.012025,-0.001687,0.024988,0.004825,0.01931,-0.011487,0.017015,0.025261,0.030856,-0.006523,0.00405,-0.001591,-0.00805,0.047317,0.03718,0.0273
2000-05,0.029453,0.040151,0.051926,0.047,0.04284,0.017348,0.04099,0.019759,0.018279,0.047814,0.058076,0.0079,0.03638,0.028344,0.006338,0.059677,0.050976,0.050661
2000-06,-0.028746,-0.049965,0.000393,-0.000714,-0.000586,-0.013306,-0.049197,-0.025975,0.041526,-0.042326,-0.012747,-0.004074,-0.041013,-0.048849,-5.7e-05,0.022259,-0.062923,-0.039992
2000-07,0.01278,0.010768,0.023022,0.000514,0.002433,-0.000182,0.011015,0.014054,-0.036996,0.004169,0.000481,0.004447,0.022331,0.003153,0.00304,0.036143,-0.003336,0.014999
2000-08,0.010197,0.03533,0.031875,0.01192,0.014037,0.002646,0.035577,-0.006519,-0.008492,0.02661,0.011869,-0.015456,0.032139,0.03455,0.002024,0.046546,0.028369,0.043349
2000-09,0.05032,0.037873,0.064979,0.0373,0.025082,0.001679,0.039656,-0.01679,0.016662,0.031131,0.034732,0.008127,0.040814,0.022346,0.001007,0.054905,0.041691,0.049631
2000-10,0.04425,0.018294,0.041396,-0.012336,0.030715,0.016698,0.015488,0.009665,0.026426,0.01624,0.045298,0.00343,0.028994,0.006183,0.018645,0.042561,0.012145,0.024212
2000-11,0.011374,-0.004554,0.002523,0.016648,0.043427,0.018966,-0.004277,-3.4e-05,0.006153,-0.002439,0.029219,-0.005989,0.007993,-0.000922,0.016356,0.045466,-0.019003,0.00843
2000-12,-0.04693,-0.050601,-0.074328,-0.026401,0.015555,-0.0143,-0.047445,0.02403,0.004521,-0.03101,-0.002856,-0.009874,-0.046324,-0.056109,0.019076,0.039321,-0.043768,-0.040206
2001-01,-0.015545,-0.043669,-0.032775,-0.009983,0.004328,-0.012624,-0.042616,0.034508,0.04155,-0.030206,0.021184,-0.001601,-0.019134,-0.035199,-0.014952,0.023349,-0.037372,-0.041184
2001-02,0.039286,0.017824,0.022714,0.017183,0.033322,0.012009,0.018098,-0.00809,0.003849,0.016694,0.009665,0.00024,0.025899,0.021376,-0.011571,0.150754,0.00428,0.026032
2001-03,0.059266,0.013053,0.039059,0.005832,0.052822,0.023929,0.013813,0.040235,-0.002558,0.009312,0.014271,0.014433,0.029388,0.011786,0.008233,0.272958,0.009129,0.019487
2001-04,0.002952,0.017606,0.028312,0.007191,0.05641,-0.000635,0.017554,0.01456,-0.020111,0.013921,0.027394,0.019455,0.014404,0.011826,0.009111,0.266846,0.019802,0.027458
2001-05,-0.03529,0.019912,-0.034711,0.006616,0.055304,-0.010468,0.019704,-0.019733,-0.012714,0.007644,-0.006948,-0.000312,0.014332,0.022095,0.007709,-0.03109,0.014386,-0.006339
2001-06,0.004441,0.026349,0.019853,0.018302,0.04868,-0.01033,0.025703,0.001572,-0.00166,0.020478,0.015602,0.000211,0.042069,0.01799,0.03317,0.114164,0.014824,-0.013097
2001-07,0.018599,-0.009294,0.016087,-0.008011,0.0536,0.004555,-0.010037,0.014261,0.013522,-0.002028,0.023561,0.002205,-0.002566,-0.016622,0.014109,0.133986,-0.009705,0.003274
2001-08,-0.029385,-0.044544,-0.053877,-0.014665,0.029683,0.006316,-0.044053,-0.028442,-0.000526,-0.031615,0.017597,-0.035631,-0.039908,-0.044609,-0.005397,0.108848,-0.039387,-0.030518
2001-09,0.042062,-0.01022,0.035171,-0.016993,0.077841,0.018561,-0.010764,-0.025404,0.036751,-0.016252,0.048241,-0.007617,0.029747,-0.028616,-0.001453,0.100536,-0.007897,0.011998
2001-10,0.000376,0.008135,0.01039,0.011022,0.038393,0.002961,0.007791,0.021688,-0.004121,0.011039,0.073157,0.033694,-0.005342,0.000928,0.000145,0.136026,-0.007788,0.011491
2001-11,-0.022294,0.019755,-0.002368,0.011548,-0.058483,0.013264,0.021124,0.0061,-0.007741,0.014957,0.054271,0.008977,0.005796,0.009293,-0.002266,-0.004314,0.013758,0.011608
2001-12,0.007069,-0.002021,0.002529,-0.002246,-0.060611,-0.008208,-0.002276,0.039958,-0.003597,0.008651,0.187974,0.003955,-0.00179,0.003376,0.005551,0.000288,-0.025272,-0.012844
2002-01,-0.004261,0.010324,-0.018538,0.008135,0.021399,0.013364,0.009358,0.037638,0.00504,0.003513,0.002699,-1.6e-05,-0.009582,0.008495,0.010167,-0.010611,-0.004348,0.000633
2002-02,0.010073,0.015516,0.016095,0.008412,0.032888,-0.001873,0.015123,0.005695,-0.001191,0.001738,-0.004517,-0.005307,0.010675,0.015317,0.001536,0.035251,0.011153,0.019666
2002-03,-0.022712,-0.00551,-0.031787,0.001562,-0.019176,-0.005264,-0.005038,-0.021021,8.3e-05,-0.012076,0.006992,-0.001684,-0.019004,-0.013657,-0.001342,0.043569,-0.017835,0.002464
2002-04,-0.016086,-0.009408,-0.018885,-0.012124,0.004551,-0.003564,-0.008657,-0.003711,0.014499,-0.018651,-0.02782,-0.001398,-0.000429,-0.012387,-0.002706,0.010842,-0.040313,-0.013762
2002-05,-0.024699,-0.033092,-0.037264,-0.009882,0.077596,-0.019489,-0.032999,-0.035697,0.041051,-0.04422,-0.078412,-0.016318,-0.021688,-0.04076,-0.013138,0.090675,-0.027832,-0.023645
2002-06,-0.030471,-0.04044,-0.055023,-0.014545,0.106548,-0.011287,-0.040368,-0.026208,0.031312,-0.05252,0.010988,-0.01048,-0.051572,-0.031863,-0.016327,0.127666,-0.04485,-0.038058
2002-07,0.028115,-0.037073,0.019152,-0.046196,0.094782,0.009727,-0.037434,-0.046204,0.005965,-0.032932,0.000967,-0.01828,-0.017982,-0.045872,-0.018385,0.119953,-0.061061,-0.019391
2002-08,0.025294,0.016919,0.040131,0.014499,0.069365,0.016143,0.016608,0.007768,0.010266,0.022247,0.055777,0.000879,0.014245,0.016221,0.01819,0.027564,0.052752,0.01794
2002-09,-0.007111,-0.00129,-0.011104,-0.01085,0.090472,0.005108,-0.001227,0.015905,0.028018,-0.009234,0.010291,0.006825,-0.010718,-0.00368,0.020082,0.042955,-0.020064,-0.002153
2002-10,-0.004291,0.000662,-0.021083,0.000973,0.139923,0.002058,0.001096,0.021624,0.007319,0.002438,-0.018236,0.008592,-0.003786,-0.000869,0.01072,0.037354,0.014048,0.003806
2002-11,-0.017234,-0.018746,-0.028061,-0.006618,-0.037564,-0.002973,-0.018782,-0.019908,0.015022,-0.018501,-0.055592,-0.011191,-0.021568,-0.01915,-0.007675,0.005935,-0.016219,-0.035051
2002-12,0.000796,-0.016597,-0.023151,-0.007516,0.029021,-0.00669,-0.016708,0.001215,0.007683,-0.017608,-0.065212,-0.007318,-0.012851,-0.019213,0.003713,0.014687,-0.000283,-0.017912
2003-01,-0.033014,-0.039851,-0.051592,-0.017317,-0.033476,-0.010268,-0.039168,-0.026691,0.044035,-0.030395,-0.018396,-0.010083,-0.031265,-0.044889,-0.006477,0.086116,-0.032021,-0.019877
2003-02,-0.018759,-0.014004,-0.022137,0.007956,0.066002,-0.017946,-0.013928,0.003306,0.036448,0.016244,-0.037873,0.004564,-0.015744,-0.012525,0.004613,0.014744,-0.008788,0.005643
2003-03,-0.007028,4e-06,0.004037,0.017888,-0.018115,-0.022593,-0.000445,-0.006526,0.003102,0.042186,-0.018628,0.005269,0.009106,7.1e-05,-0.000421,0.054578,0.002924,0.004526
2003-04,-0.011207,-0.004917,0.00707,0.007385,-0.085154,-0.010559,-0.005045,0.009055,-0.023784,-0.006666,-0.038839,0.011973,-0.011297,0.011439,0.002872,0.014314,-0.008073,-0.001608
2003-05,-0.055765,-0.060896,-0.038804,-0.028433,-0.031175,-0.050535,-0.060925,-0.022378,-0.028658,-0.052321,0.010051,-0.02409,-0.060525,-0.050894,-0.003723,-0.055133,-0.070185,-0.058716
2003-06,-0.025134,-0.00927,-0.006766,-0.021371,-0.000961,-0.02121,-0.009238,0.007242,0.027583,0.030927,0.035462,-0.000764,-0.012254,0.0057,-0.001768,-0.0146,-0.004976,0.056601
2003-07,0.009766,0.027711,-0.00509,0.025585,0.017669,0.023368,0.028847,0.002197,-0.001217,0.041921,-0.031183,0.011096,0.036937,0.030235,-0.006832,0.012483,0.03764,0.042638
