Time Period,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,CHINA,DENMARK,INDIA,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,KOREA,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
Currency:,USD,USD,USD,USD,BRL,CAD,CNY,DKK,INR,JPY,MXN,NOK,ZAR,SGD,KRW,SEK,CHF,TWD,TRY,CZK,HUF
2000-01,0.656,1.0131,0.5127,1.6404,1.8057,1.4486,8.2792,7.3492,43.5895,105.296,9.4935,8.0241,6.1309,1.6757,1130.99,8.4918,1.5903,30.8895,0.544802,35.484,251.0805
2000-02,0.6278,0.9834,0.4903,1.6,1.7765,1.4512,8.2781,7.5725,43.654,109.3885,9.4265,8.2374,6.3209,1.7028,1129.7455,8.648,1.6348,30.8058,0.56304,36.287619,260.127143
2000-03,0.6094,0.9643,0.4902,1.5799,1.7424,1.4608,8.2786,7.7228,43.6383,106.3074,9.2886,8.41,6.4675,1.7153,1116.3904,8.6971,1.6636,30.7198,0.580069,36.907391,266.264783
2000-04,0.596,0.9449,0.496,1.5823,1.7696,1.4689,8.2793,7.8872,43.6847,105.627,9.3937,8.6272,6.648,1.7096,1110.32,8.7486,1.6657,30.5203,0.595406,38.3345,272.5345
2000-05,0.5784,0.9059,0.4708,1.509,1.8278,1.4957,8.2781,8.2329,44.0759,108.3205,9.5059,9.0533,7.0238,1.7286,1119.4864,9.0925,1.719,30.7718,0.617365,40.383913,285.682174
2000-06,0.5949,0.9505,0.4705,1.5092,1.8099,1.477,8.2772,7.8501,44.7605,106.1255,9.8343,8.6807,6.9147,1.7277,1117.935,8.7471,1.642,30.8305,0.61587,37.965909,273.508636
2000-07,0.587,0.9386,0.4597,1.5076,1.7982,1.4778,8.2794,7.9471,44.8405,108.2115,9.4192,8.7185,6.8971,1.7414,1115.075,8.964,1.6519,30.9838,0.627277,37.88319,276.655238
2000-08,0.5808,0.9045,0.4452,1.4889,1.8091,1.4828,8.2796,8.2459,45.7687,108.0804,9.2724,8.9526,6.957,1.7206,1114.467,9.2771,1.7149,31.1061,0.645088,39.016522,287.932174
2000-09,0.5521,0.8695,0.4171,1.4336,1.8397,1.4864,8.2785,8.5849,45.968,106.8375,9.3615,9.2331,7.1805,1.7406,1117.57,9.6853,1.7586,31.1977,0.66452,40.724,301.5325
