,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2010-03-01,0.77710784,-0.07793752,0.02532266,-0.82478177,-0.2030594,1.30943944,-0.22370026,-0.1317091,-0.54995461,-0.12553667,-0.24594048,1.64626028,-0.16145837,0.21573792,0.2223151,-0.91927833,1.10043867,-0.83326541
2010-04-01,0.85899016,-0.11417432,0.02522392,-0.85813273,-0.24559308,1.31937511,-0.26698027,-0.05319357,-0.56099136,-0.10924815,-0.2591658,1.70082565,-0.12351003,0.1761459,0.17295266,-0.93252763,1.14441767,-0.87441414
2010-05-01,1.00141737,-0.13250135,-0.03948868,-0.94888669,-0.29571522,1.42591899,-0.28956703,-0.16275618,-0.64186396,-0.11597952,-0.26664164,1.84071675,-0.16702064,0.26079109,0.18791428,-0.97833629,1.2336449,-0.91164617
2010-06-01,1.01364042,-0.12919602,-0.09239699,-0.89480802,-0.31025887,1.40125881,-0.2755641,-0.23049636,-0.58566186,-0.07968023,-0.24926554,1.79650014,-0.23553959,0.26645776,0.19820342,-0.92197427,1.26460737,-0.93582607
2010-07-01,0.90217321,-0.13891446,0.02002253,-0.83562102,-0.27648383,1.33720475,-0.28179266,-0.14242684,-0.57535292,-0.04543953,-0.22453358,1.7681636,-0.25674082,0.19473865,0.17120572,-0.88360564,1.24038701,-0.97298419
2010-08-01,0.78776484,-0.17763897,0.05352021,-0.6899785,-0.24287729,1.25701818,-0.30752463,-0.10514448,-0.47070787,-0.09303335,-0.19282426,1.66796012,-0.22025148,0.28175579,0.12268852,-0.81969573,1.09432058,-0.94535169
2010-09-01,0.80369296,-0.190859,0.06993076,-0.70414246,-0.22542915,1.21385706,-0.33398108,-0.0800457,-0.57222696,-0.12624664,-0.20416373,1.70900625,-0.11651315,0.33232419,0.0735594,-0.81076078,1.11422121,-0.95222317
2010-10-01,0.82563544,-0.21444278,0.04906501,-0.6776079,-0.23199861,1.18388472,-0.35254708,-0.06102248,-0.59043999,-0.10990384,-0.19700772,1.67207289,-0.11377656,0.34636006,0.06779362,-0.79790574,1.14707374,-0.94523278
2010-11-01,0.89156225,-0.22222445,0.07150747,-0.70291496,-0.23824374,1.14888251,-0.34615269,-0.08813534,-0.62051242,-0.12319916,-0.19972694,1.70062225,-0.08181189,0.38774617,0.04677871,-0.81603394,1.16744331,-0.97558714
2010-12-01,0.7570061,-0.095971,0.07466296,-0.70425217,-0.21791721,0.94040078,-0.22263115,-0.01915766,-0.46749902,-0.12803634,-0.16998061,1.39012628,-0.02430998,0.23415536,0.14338646,-0.67327978,0.96644915,-0.78315217
2011-01-01,0.69855263,-0.09522765,0.09321011,-0.60531496,-0.20724761,0.89568817,-0.21291062,-0.02650695,-0.42893929,-0.14602916,-0.15613967,1.27971943,-0.03673663,0.22217542,0.22275627,-0.62162809,0.85057539,-0.72599679
2011-02-01,0.69856389,-0.1323473,0.04995488,-0.59364898,-0.19234395,0.87602984,-0.23867905,-0.02555133,-0.41528816,-0.13637941,-0.1377897,1.23605455,-0.01796087,0.26639134,0.28848508,-0.60986682,0.7908692,-0.7064932
2011-03-01,0.6399584,-0.15492322,0.04072615,-0.53519097,-0.18141299,0.80487024,-0.25168436,0.04115441,-0.3182874,-0.12453719,-0.12311341,1.17061474,0.01041145,0.2228397,0.25291653,-0.56849537,0.7575611,-0.68340781
2011-04-01,0.66523218,-0.15411468,0.01457264,-0.52527567,-0.19097101,0.82624476,-0.25298331,0.04339641,-0.33677202,-0.12397169,-0.15562724,1.20639136,0.06135771,0.18912998,0.22414113,-0.58809499,0.76758281,-0.67023837
2011-05-01,0.64963726,-0.1312985,-0.03633653,-0.53650851,-0.19051338,0.83656201,-0.23088979,0.02636708,-0.31423882,-0.11761497,-0.13487763,1.2025387,0.0387959,0.2456132,0.18294331,-0.58397033,0.76043175,-0.66664075
2011-06-01,0.66543901,-0.1147411,-0.02014014,-0.53367303,-0.17166888,0.82185151,-0.21612475,-0.01804868,-0.24197741,-0.12656498,-0.12206809,1.19414322,-0.00195078,0.24153412,0.20470295,-0.654464,0.73328806,-0.63953704
2011-07-01,0.58233786,-0.07893996,-0.04649461,-0.5086797,-0.10792221,0.77900935,-0.17940394,-0.07847641,-0.24069658,-0.15529612,-0.10627012,1.17758584,0.01552727,0.31409857,0.24642149,-0.65977288,0.68968193,-0.64270978
2011-08-01,0.53997213,-0.08546173,-0.00827883,-0.52431838,-0.08941652,0.75383693,-0.18335057,-0.09256171,-0.2545942,-0.14356994,-0.10076756,1.15724291,-0.01004013,0.39272219,0.25102017,-0.64399286,0.68564289,-0.64408478
2011-09-01,0.53328874,-0.08803398,-0.00094963,-0.51996431,-0.08773988,0.75038165,-0.18431352,-0.08703863,-0.24761549,-0.14169322,-0.10027443,1.14879365,-0.01495207,0.3966639,0.24566811,-0.63954142,0.67631506,-0.63899453
2011-10-01,0.51712741,-0.08181833,0.01894187,-0.50612085,-0.07714674,0.69874524,-0.1754446,-0.08628689,-0.22976072,-0.14024572,-0.10510732,1.18340281,-0.01119991,0.41998999,0.20946507,-0.652238,0.6429395,-0.6252428
2011-11-01,0.68351072,-0.06932575,0.03430389,-0.60742671,-0.13809038,0.82072383,-0.17594659,-0.02572071,-0.35093936,-0.12040452,-0.14313425,1.31962504,0.05941715,0.20606032,0.21610614,-0.72300141,0.80399829,-0.7897557
2011-12-01,0.75040092,-0.04185605,0.01131592,-0.61666633,-0.14208278,0.83090912,-0.15208938,-0.0161841,-0.38574106,-0.10962886,-0.16250846,1.36306514,0.09218967,0.17601539,0.18862925,-0.74505313,0.8395116,-0.88022686
2012-01-01,0.63679433,0.01940896,-0.01458654,-0.52727668,-0.17890385,0.83441194,-0.06525219,-0.0615574,-0.37205678,-0.09743182,-0.12429925,1.29810218,0.0679395,0.16060847,0.21041447,-0.65050165,0.74725291,-0.88306659
2012-02-01,0.63929291,-0.00148651,-0.02152926,-0.4913482,-0.21614232,0.74726973,-0.07928017,0.01282762,-0.30917442,-0.10008397,0.00381613,1.25087278,0.05912276,0.12239206,0.20212264,-0.62187624,0.67270639,-0.86950192
2012-03-01,0.54965023,0.02143482,-0.02030754,-0.39972329,-0.16915159,0.66847657,-0.05303217,0.09170875,-0.21461062,-0.08401606,0.01343688,1.07794975,0.01181518,0.09035739,0.19889491,-0.5550098,0.55173806,-0.77961147
2012-04-01,0.49399622,0.00260473,0.0104438,-0.41136838,-0.16582719,0.64580798,-0.06629131,0.04507288,-0.21017909,-0.06274685,0.0045118,1.06777616,-0.01813535,0.12422277,0.21394887,-0.52455034,0.54852178,-0.69780848
2012-05-01,0.48453347,0.01232146,-0.01256941,-0.41056195,-0.1974246,0.68771478,-0.05673626,-0.025702,-0.21862853,-0.06520838,0.01057235,1.10407998,-0.04079259,0.14725135,0.24715401,-0.52361152,0.57888434,-0.7212765
2012-06-01,0.4318805,0.02320385,-0.01039497,-0.37505974,-0.19753042,0.67778345,-0.04312525,-0.02167231,-0.21115725,-0.07417455,-0.00915376,1.0933487,-0.00526918,0.13877706,0.24771759,-0.4846962,0.50529601,-0.68577353
2012-07-01,0.43642015,0.02281368,-0.03670665,-0.32713693,-0.22905391,0.68330108,-0.04054627,-0.00179869,-0.24468447,-0.04568652,0.00616986,1.09224549,-0.06068672,0.11406885,0.27969533,-0.46606765,0.44743728,-0.62978391
2012-08-01,0.51916277,0.01218084,0.01835115,-0.40044322,-0.29773504,0.70872156,-0.05381604,0.01049091,-0.27172561,-0.00714364,-0.01051038,1.15285313,-0.01325595,0.07907682,0.28748866,-0.54110832,0.45017107,-0.6427587
2012-09-01,0.49429561,-0.00274459,0.01153589,-0.34126668,-0.30035328,0.65610311,-0.06815072,0.04616775,-0.18693714,-0.0052879,-0.00116063,1.13105267,-0.00076443,0.04007563,0.24819728,-0.54303712,0.42940581,-0.60713125
2012-10-01,0.45167286,-0.03316906,0.04073857,-0.34901903,-0.27060464,0.6584504,-0.10009803,0.06342547,-0.20545748,0.01109515,0.01245786,1.05154785,0.00555051,0.02734656,0.26822984,-0.52395148,0.50151434,-0.6097297
2012-11-01,0.36927717,0.00255193,0.04022024,-0.31263835,-0.23428545,0.61643976,-0.060391,0.06721901,-0.16240422,0.0132475,0.01149309,0.97472693,-0.02154266,0.01807917,0.27901603,-0.47860275,0.45683657,-0.57924296
2012-12-01,0.32451836,0.01478181,0.03644731,-0.30666798,-0.18265423,0.58983208,-0.04591653,0.05439806,-0.17712902,0.02028143,-0.02266165,0.97537947,-0.0396121,0.01707243,0.3047183,-0.45188239,0.43170509,-0.54261046
2013-01-01,0.38748691,0.01258235,0.01485529,-0.31580918,-0.23711969,0.61379781,-0.04900624,0.00497978,-0.16596423,0.03397535,-0.05562971,1.01835601,-0.04505229,0.05041337,0.32835309,-0.44775302,0.43195792,-0.58042351
2013-02-01,0.40892497,0.01078784,-0.00596248,-0.3228565,-0.23438239,0.62215468,-0.05087989,-0.02065552,-0.15787525,0.02611479,-0.0807954,1.01541823,-0.04436513,0.06016376,0.35008535,-0.4424326,0.48192123,-0.61536569
2013-03-01,0.421264,0.05127723,-0.0008162,-0.37441811,-0.237654,0.64357812,-0.01241534,-0.09696345,-0.17501149,0.02118681,-0.10081004,1.06119103,-0.00389182,0.07453101,0.3818606,-0.46259718,0.48203609,-0.67234725
2013-04-01,0.4296322,0.05724261,0.0175545,-0.49114107,-0.21947811,0.68661479,-0.01068641,-0.17101496,-0.22928551,0.00681123,-0.12760483,1.20440677,0.06820048,0.10689111,0.38474033,-0.52163226,0.55097689,-0.74222777
2013-05-01,0.44669015,0.04443676,0.01256239,-0.49079673,-0.23905715,0.64859202,-0.02251433,-0.17666754,-0.20150423,0.03506816,-0.14237817,1.22824199,0.0889669,0.11211824,0.37729488,-0.49678291,0.55136366,-0.77563408
2013-06-01,0.44254331,0.01652801,0.05620747,-0.44984923,-0.38122108,0.65857604,-0.04803079,-0.25004241,-0.18627883,0.06059439,-0.17752979,1.32885552,0.04038502,0.2053996,0.34449739,-0.42480513,0.49684019,-0.73266969
2013-07-01,0.39354463,0.02754197,0.05819881,-0.44233299,-0.3972526,0.72725577,-0.04023894,-0.32228851,-0.22861134,0.06174627,-0.18530496,1.39698809,0.02593385,0.17412134,0.44272246,-0.48878302,0.50307297,-0.70631377
2013-08-01,0.36840871,0.02680154,0.04844479,-0.43505168,-0.41862972,0.75297014,-0.04431058,-0.31586959,-0.24001094,0.0684859,-0.20488726,1.39666399,0.02955964,0.18924607,0.44068757,-0.48816161,0.51297058,-0.68731755
2013-09-01,0.32185039,0.02159653,0.03476468,-0.44772547,-0.45356149,0.82060186,-0.03787301,-0.36343176,-0.22911566,0.07895786,-0.24809821,1.44308713,0.08982411,0.21710675,0.39649048,-0.485003,0.5019622,-0.6614334
2013-10-01,0.2907799,0.03417573,0.03081264,-0.40645105,-0.43053477,0.80452379,-0.02176272,-0.3301234,-0.18322518,0.08132122,-0.26369149,1.34878906,0.09639022,0.21462,0.35763114,-0.46381464,0.5191999,-0.67864035
2013-11-01,0.32559321,0.04186196,0.0503008,-0.40751353,-0.44798689,0.8044667,-0.02042881,-0.39490723,-0.18951269,0.06509224,-0.26491626,1.43797393,0.0554824,0.2388903,0.36992,-0.50812971,0.56576527,-0.72195169
2013-12-01,0.3178311,0.04432502,0.05193054,-0.40386174,-0.41784541,0.75552021,-0.01367425,-0.39388874,-0.1947185,0.03574573,-0.27777785,1.45558688,0.04196794,0.24837494,0.36884498,-0.47883536,0.54731069,-0.68683617
2014-01-01,0.30940657,0.068505,0.03938554,-0.38053781,-0.44599753,0.75990479,0.01358735,-0.43594588,-0.18572921,0.02855664,-0.30008635,1.49508497,0.03592975,0.27873559,0.38162241,-0.46198692,0.4516312,-0.65206612
