,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2010-03-01,0.0288423,9.96726907,0.03668722,-0.34407666,-0.03963911,0.87131543,-11.15062388,-0.37537956,-0.29668431,-0.05384543,0.00825976,1.95812632,-0.23555407,0.75023894,-0.12058244,-0.34491603,0.89161619,-0.55105378
2010-04-01,0.72306726,18.00815203,-0.20882151,-0.55237395,-0.17557663,1.2180781,-20.36024057,-0.39404436,-0.50629479,-0.16592724,-0.13666401,3.03912371,0.10988438,0.91938714,-0.61204919,-0.5553145,1.28074278,-0.63112866
2010-05-01,0.19467847,20.26497335,0.11278015,-0.75236811,-0.19408098,0.94634896,-21.70186115,-0.53647008,-0.28876344,0.13174447,0.0248012,2.50704566,-0.24393373,0.58360304,-0.16184109,-0.38443946,1.44932993,-0.95154719
2010-06-01,0.37990384,17.56095642,-0.08495066,-0.47838426,-0.22106094,1.18899305,-19.51827713,-0.43877665,-0.46972859,-0.08810634,-0.12751328,3.16574239,-0.02551702,0.66344173,-0.68360015,-0.50386639,1.31085348,-0.6301095
2010-07-01,0.60857373,23.25699516,-0.22812204,-0.71725677,-0.19406472,1.38020979,-26.04680022,-0.59419409,-0.7535975,0.05340523,-0.04900873,3.91753333,0.06390824,0.92133359,-0.82854083,-0.69393005,1.77759556,-0.87403967
2010-08-01,-0.02567068,7.6845775,-0.05536073,-0.00113594,-0.05096771,0.84495879,-9.19235558,-0.17179809,-0.27904638,0.22307176,-0.03020049,1.84527839,0.14262912,0.34746207,-0.40706687,-0.25615988,0.82733563,-0.44555091
2010-09-01,0.7706086,10.09427014,-0.1938429,-0.34230701,-0.12088765,1.03254254,-12.1709756,-0.53043508,-0.59641519,-0.25914158,-0.10298907,3.44552441,-0.19283501,1.06155285,-0.99785808,-0.4583721,1.28835792,-0.72679721
2010-10-01,0.19315186,-3.54933013,0.128244,0.06610564,-0.08165256,0.23708924,3.30930143,0.09161154,0.32940046,-0.16669796,-0.08105306,0.86744468,-0.12252613,0.38997237,0.03964877,-0.13413075,0.03060847,-0.54718786
2010-11-01,1.61318464,23.21024072,-0.41836554,-1.06638949,-0.22078841,1.2224221,-26.53489611,-0.5786647,-1.10047975,0.16268358,-0.11355049,4.95369331,-0.37994887,0.77924081,-1.03933896,-0.9679445,2.75289066,-1.27398901
2010-12-01,0.29514906,12.48692814,-0.05178554,-0.30352763,-0.06908881,0.60451909,-13.54142437,-0.20825711,-0.2661718,-0.14985856,-0.04965346,1.98700329,0.00940051,0.41903307,-0.19421787,-0.31230004,0.7290668,-0.38481476
