,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2010-03-01,1e-07,1.4e-07,1.3e-07,2e-07,3.5e-07,1.5e-07,1.5e-07,2.8e-07,0.29726028,1.4e-07,2.1e-07,2.1e-07,1.3e-07,1.5e-07,3.9e-07,0.70273673,1e-07,1.5e-07
2010-04-01,6e-08,1e-07,8e-08,2.2e-07,2.6e-07,9e-08,1e-07,1.7e-07,0.31200379,1e-07,2.4e-07,1.3e-07,9e-08,1e-07,2.5e-07,0.68799406,6e-08,1.1e-07
2010-05-01,1.5e-07,2.3e-07,2e-07,4.8e-07,6.2e-07,2.1e-07,2.4e-07,4.5e-07,0.29468384,2.4e-07,4.1e-07,3.1e-07,2.1e-07,2.3e-07,5.9e-07,0.70531118,1.6e-07,2.6e-07
2010-06-01,1e-07,1.5e-07,1.3e-07,2.3e-07,3.6e-07,1.4e-07,1.5e-07,3.6e-07,0.26335962,1.5e-07,7e-08,2.1e-07,1.4e-07,1.5e-07,4.1e-07,0.73663738,1e-07,1.6e-07
2010-07-01,1.6e-07,2.6e-07,2.2e-07,5.5e-07,6.8e-07,2.3e-07,2.7e-07,5.5e-07,0.28601737,2.6e-07,4.7e-07,3.4e-07,2.4e-07,2.6e-07,6.6e-07,0.713977,1.7e-07,3.1e-07
2010-08-01,1.6e-07,2.7e-07,2.1e-07,4.9e-07,6.6e-07,2.2e-07,2.8e-07,5.5e-07,0.24725462,2.7e-07,3.1e-07,3.2e-07,2.4e-07,2.6e-07,6.8e-07,0.75273999,1.7e-07,3.1e-07
2010-09-01,1.1e-07,1.8e-07,1.5e-07,3.3e-07,4.6e-07,1.6e-07,1.9e-07,3.3e-07,0.31971054,1.8e-07,3e-07,2.3e-07,1.6e-07,1.7e-07,4.6e-07,0.68028572,1.2e-07,2.2e-07
2010-10-01,2.3e-07,3.9e-07,3e-07,8.3e-07,1.08e-06,3.2e-07,4e-07,7e-07,0.34370746,3.9e-07,9.2e-07,4.5e-07,3.3e-07,3.5e-07,9.5e-07,0.65628417,2.4e-07,4.9e-07
2010-11-01,1e-08,2e-08,1e-08,4e-08,5e-08,1e-08,2e-08,3e-08,0.35136545,2e-08,5e-08,2e-08,1e-08,2e-08,5e-08,0.64863415,1e-08,2e-08
2010-12-01,5e-08,8e-08,7e-08,1.9e-07,2.6e-07,8e-08,8e-08,1.5e-07,0.31513362,9e-08,1.8e-07,1e-07,7e-08,8e-08,2e-07,0.68486455,5e-08,1e-07
2011-01-01,7e-08,1.1e-07,9e-08,2.2e-07,3.3e-07,1.1e-07,1.1e-07,2e-07,0.30930475,1.2e-07,1.9e-07,1.4e-07,9e-08,1e-07,2.5e-07,0.69069291,7e-08,1.3e-07
2011-02-01,2e-08,2e-08,2e-08,2e-08,6e-08,3e-08,2e-08,4e-08,0.30881813,2e-08,2e-08,3e-08,2e-08,2e-08,5e-08,0.69118144,2e-08,2e-08
2011-03-01,1e-08,1e-08,1e-08,1e-08,2e-08,1e-08,1e-08,1e-08,0.23855765,1e-08,1e-08,1e-08,1e-08,1e-08,2e-08,0.76144221,1e-08,1e-08
2011-04-01,1e-08,2e-08,2e-08,4e-08,8e-08,2e-08,2e-08,3e-08,0.23073864,2e-08,5e-08,2e-08,2e-08,2e-08,4e-08,0.76926091,1e-08,3e-08
2011-05-01,3e-08,4e-08,3e-08,7e-08,1.3e-07,4e-08,4e-08,6e-08,0.12165628,4e-08,8e-08,4e-08,3e-08,3e-08,8e-08,0.87834292,3e-08,5e-08
2011-06-01,1e-08,1e-08,1e-08,1e-08,2e-08,1e-08,1e-08,2e-08,4.5e-07,1e-08,1e-08,1e-08,1e-08,1e-08,2e-08,0.99999939,1e-08,1e-08
2011-07-01,1e-08,2e-08,2e-08,2e-08,4e-08,2e-08,2e-08,3e-08,5.4e-07,2e-08,2e-08,3e-08,2e-08,2e-08,4e-08,0.99999911,1e-08,2e-08
2011-08-01,6e-08,9e-08,8e-08,2.1e-07,1.6e-07,8e-08,9e-08,1.8e-07,7.9e-07,1e-07,1.6e-07,1.1e-07,8e-08,8e-08,1.9e-07,0.99999737,6e-08,1.1e-07
2011-09-01,8e-08,1.3e-07,1e-07,2.9e-07,2.2e-07,1.1e-07,1.3e-07,2.4e-07,1.24e-06,1.3e-07,2.4e-07,1.4e-07,1.1e-07,1.1e-07,2.5e-07,0.99999624,8e-08,1.6e-07
2011-10-01,1e-07,1.6e-07,1.3e-07,3.7e-07,2.7e-07,1.4e-07,1.7e-07,3.1e-07,1.93e-06,1.7e-07,3.1e-07,1.9e-07,1.4e-07,1.4e-07,3.3e-07,0.99999484,1.1e-07,2e-07
2011-11-01,5e-08,7e-08,6e-08,1.2e-07,1.3e-07,7e-08,7e-08,1.4e-07,8.9e-07,7e-08,6e-08,9e-08,6e-08,6e-08,1.6e-07,0.99999778,5e-08,7e-08
2011-12-01,1e-08,2e-08,2e-08,4e-08,4e-08,2e-08,2e-08,4e-08,2.9e-07,2e-08,4e-08,3e-08,2e-08,2e-08,5e-08,0.99999928,1e-08,3e-08
2012-01-01,2e-08,3e-08,2e-08,5e-08,6e-08,3e-08,3e-08,5e-08,0.02957886,3e-08,4e-08,4e-08,2e-08,3e-08,6e-08,0.97042059,2e-08,3e-08
2012-02-01,2e-08,3e-08,3e-08,5e-08,7e-08,3e-08,3e-08,5e-08,0.02725625,3e-08,4e-08,4e-08,2e-08,3e-08,6e-08,0.97274316,2e-08,4e-08
2012-03-01,1.6e-07,2.8e-07,2.3e-07,5.6e-07,6.3e-07,2.4e-07,2.9e-07,4.6e-07,1.12e-06,2.8e-07,3.2e-07,3.4e-07,2.3e-07,2.5e-07,5.8e-07,0.99999346,1.9e-07,3.7e-07
2012-04-01,7e-08,1.1e-07,9e-08,2.3e-07,2.4e-07,1e-07,1.1e-07,1.9e-07,9.6e-07,1.1e-07,1.3e-07,1.3e-07,9e-08,1e-07,2.2e-07,0.9999969,8e-08,1.4e-07
2012-05-01,6e-08,1e-07,9e-08,2.1e-07,2.7e-07,9e-08,1.1e-07,2.1e-07,1.02e-06,1.1e-07,1.2e-07,1.2e-07,9e-08,9e-08,2.1e-07,0.99999691,7e-08,1.3e-07
2012-06-01,1e-07,1.6e-07,1.4e-07,3.3e-07,4.3e-07,1.4e-07,1.7e-07,3.1e-07,1.24e-06,1.7e-07,2.1e-07,1.9e-07,1.4e-07,1.5e-07,3.3e-07,0.99999546,1.1e-07,2.1e-07
2012-07-01,2e-08,3e-08,2e-08,5e-08,9e-08,2e-08,3e-08,4e-08,0.01090498,3e-08,4e-08,3e-08,2e-08,2e-08,5e-08,0.9890945,2e-08,4e-08
2012-08-01,2e-08,3e-08,3e-08,6e-08,9e-08,3e-08,3e-08,5e-08,0.03679742,3e-08,4e-08,4e-08,3e-08,3e-08,7e-08,0.96320193,2e-08,4e-08
2012-09-01,1.5e-07,2.6e-07,2e-07,5.1e-07,8.7e-07,2e-07,2.7e-07,4.2e-07,1.47e-06,2.7e-07,3.5e-07,2.7e-07,2e-07,2.3e-07,4.9e-07,0.9999933,1.8e-07,3.6e-07
2012-10-01,1.4e-07,2.4e-07,1.9e-07,4.7e-07,1.04e-06,1.8e-07,2.5e-07,3.6e-07,6.6e-06,2.4e-07,3.2e-07,2.5e-07,1.9e-07,2.1e-07,4.2e-07,0.99998838,1.6e-07,3.4e-07
2012-11-01,2e-08,3e-08,2e-08,6e-08,1.1e-07,2e-08,3e-08,4e-08,3.1e-07,3e-08,4e-08,3e-08,2e-08,2e-08,5e-08,0.99999911,2e-08,4e-08
2012-12-01,2e-08,3e-08,2e-08,6e-08,9e-08,2e-08,3e-08,4e-08,6.3e-07,3e-08,5e-08,3e-08,2e-08,3e-08,5e-08,0.99999879,2e-08,5e-08
2013-01-01,0.0,1e-08,1e-08,1e-08,2e-08,1e-08,1e-08,1e-08,1.2e-07,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.99999975,0.0,1e-08
2013-02-01,5e-08,8e-08,7e-08,1.6e-07,2.7e-07,6e-08,8e-08,1.3e-07,9.7e-07,8e-08,2e-07,8e-08,6e-08,7e-08,1.2e-07,0.99999734,5e-08,1.4e-07
2013-03-01,4e-08,6e-08,5e-08,1.4e-07,1.6e-07,5e-08,6e-08,1.5e-07,2.9e-07,6e-08,1.5e-07,7e-08,5e-08,6e-08,1.1e-07,0.99999834,4e-08,1e-07
2013-04-01,2e-08,3e-08,3e-08,7e-08,7e-08,2e-08,3e-08,7e-08,2.2e-07,3e-08,1.4e-07,3e-08,2e-08,3e-08,5e-08,0.99999905,2e-08,6e-08
2013-05-01,2e-08,3e-08,3e-08,8e-08,9e-08,3e-08,3e-08,8e-08,2.2e-07,3e-08,2.5e-07,3e-08,3e-08,3e-08,5e-08,0.99999887,2e-08,8e-08
2013-06-01,3e-08,5e-08,4e-08,1.2e-07,2.7e-07,4e-08,5e-08,1.5e-07,3.6e-07,5e-08,1.02e-06,5e-08,4e-08,4e-08,8e-08,0.99999743,3e-08,1.2e-07
2013-07-01,4e-08,6e-08,5e-08,1.3e-07,2.8e-07,5e-08,6e-08,2e-07,3.7e-07,6e-08,3.1e-07,5e-08,5e-08,5e-08,8e-08,0.99999799,4e-08,1.3e-07
2013-08-01,1.5e-07,2.5e-07,2e-07,5.5e-07,1.42e-06,2e-07,2.5e-07,7.1e-07,1.27e-06,2.3e-07,1.05e-06,2.2e-07,2e-07,2.1e-07,3.5e-07,0.99999221,1.6e-07,3.8e-07
2013-09-01,9e-08,1.4e-07,1.2e-07,3.2e-07,9.6e-07,1.2e-07,1.5e-07,4.7e-07,6.6e-07,1.3e-07,7.3e-07,1.3e-07,1.1e-07,1.2e-07,2.1e-07,0.99999523,9e-08,2e-07
2013-10-01,5e-08,7e-08,7e-08,1.5e-07,5.2e-07,6e-08,8e-08,2.3e-07,3.3e-07,7e-08,5.9e-07,7e-08,6e-08,6e-08,1.2e-07,0.9999973,5e-08,1.1e-07
2013-11-01,5e-08,8e-08,6e-08,1.5e-07,4.3e-07,7e-08,8e-08,3.2e-07,3e-07,7e-08,5e-07,7e-08,6e-08,6e-08,1.2e-07,0.99999741,5e-08,1.1e-07
