,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2010-03-01,0.29604573,11.2393079,-0.06488736,-0.41028848,-0.08708647,0.87613992,-12.46079294,-0.33665149,-0.33811508,-0.15954375,-0.06732103,2.20205802,-0.05305754,0.55479179,-0.18583931,-0.37821206,0.89547808,-0.52202592
2010-04-01,0.33503474,11.86004237,-0.07241184,-0.42207193,-0.10133941,0.88619607,-13.16858577,-0.30568572,-0.34817979,-0.15258607,-0.07310944,2.27521655,-0.0204116,0.53794054,-0.23695746,-0.38849827,0.94133866,-0.54593164
2010-05-01,0.43224583,12.05553789,-0.13182062,-0.41396076,-0.12909015,0.90793112,-13.40349818,-0.39694364,-0.41154952,-0.15035224,-0.07809631,2.42726097,-0.08597626,0.60561423,-0.24877666,-0.3948854,0.9831614,-0.5668017
2010-06-01,0.4618553,11.8361107,-0.14979744,-0.42915904,-0.13657399,0.91753944,-13.17167268,-0.40964911,-0.41267206,-0.14056998,-0.07692277,2.44793582,-0.11424217,0.59647232,-0.25693778,-0.39635737,1.02472356,-0.59008275
2010-07-01,0.43118583,11.93289737,-0.11724871,-0.41970474,-0.12940894,0.90558943,-13.26306518,-0.38272775,-0.4104819,-0.1298548,-0.07466592,2.45340867,-0.11261307,0.55839238,-0.26490391,-0.3927044,1.0183262,-0.60242055
2010-08-01,0.38393761,11.33675648,-0.09412527,-0.36244799,-0.11726823,0.87145622,-12.71390148,-0.36862047,-0.35759166,-0.15538082,-0.06433076,2.39238707,-0.09286422,0.64794145,-0.28851586,-0.374511,0.94225574,-0.5851768
2010-09-01,0.40314355,12.20624459,-0.09540562,-0.37426699,-0.11089581,0.88111049,-13.6858119,-0.37561594,-0.42516434,-0.18080815,-0.07063064,2.50335087,-0.02219977,0.67766953,-0.3276499,-0.38575957,0.96707146,-0.58438186
2010-10-01,0.43233622,11.72904881,-0.12497699,-0.32209521,-0.1090422,0.81838684,-13.22315763,-0.34471542,-0.40272858,-0.17342258,-0.06262882,2.52865569,-0.02291436,0.62490896,-0.35863017,-0.37326662,0.96123507,-0.57699301
2010-11-01,0.42514877,11.81614417,-0.12338467,-0.31751419,-0.10888045,0.82129586,-13.30101947,-0.33955854,-0.40038782,-0.17022326,-0.06317029,2.51666096,-0.02601495,0.61372842,-0.35501611,-0.37247586,0.95871672,-0.57404927
2010-12-01,0.33951262,13.9186706,-0.09112653,-0.34451103,-0.11232987,0.7309328,-14.99848809,-0.20052551,-0.29985828,-0.14680128,-0.06469221,2.03117194,0.04496297,0.32639546,-0.1335741,-0.32412834,0.80041837,-0.47602951
