,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2010-03-01,2e-08,2e-08,2e-08,4e-08,5e-08,2e-08,2e-08,5e-08,0.2814051,2e-08,7e-08,3e-08,2e-08,2e-08,6e-08,0.71859437,2e-08,3e-08
2010-04-01,1.3e-07,2.1e-07,1.7e-07,5.9e-07,7e-07,1.7e-07,2.1e-07,3.8e-07,0.29441178,2.2e-07,1.2e-06,2.5e-07,1.9e-07,2e-07,5.3e-07,0.70558268,1.3e-07,2.7e-07
2010-05-01,2.3e-07,3.7e-07,3.2e-07,1.01e-06,1.09e-06,3.3e-07,3.9e-07,9.7e-07,0.27925641,3.8e-07,1.22e-06,5.2e-07,3.3e-07,3.8e-07,1.17e-06,0.72073419,2.5e-07,4.3e-07
2010-06-01,2.2e-07,3.8e-07,3.2e-07,1.18e-06,1.57e-06,3.1e-07,4e-07,1.15e-06,0.2527985,3.9e-07,1.89e-06,4.9e-07,3.5e-07,3.8e-07,1.16e-06,0.74719059,2.4e-07,4.9e-07
2010-07-01,8e-08,1.3e-07,1.1e-07,3.2e-07,3.8e-07,1.1e-07,1.3e-07,3.3e-07,0.27267008,1.3e-07,3.9e-07,1.7e-07,1.2e-07,1.3e-07,3.7e-07,0.72732679,8e-08,1.6e-07
2010-08-01,2.4e-07,3.6e-07,3e-07,4.5e-07,4.9e-07,3.3e-07,3.7e-07,8e-07,0.23747079,3.6e-07,1.1e-07,4.8e-07,3.2e-07,3.5e-07,9.8e-07,0.7625227,2.5e-07,3.3e-07
2010-09-01,1.8e-07,2.8e-07,2.3e-07,5.4e-07,8e-07,2.5e-07,2.9e-07,5.3e-07,0.30116334,2.9e-07,8.5e-07,3.5e-07,2.5e-07,2.6e-07,7.2e-07,0.69883034,1.8e-07,3.4e-07
2010-10-01,1.4e-07,1.9e-07,1.8e-07,1.9e-07,4.5e-07,2.2e-07,1.9e-07,3.8e-07,0.32181089,1.9e-07,3e-07,3e-07,1.7e-07,1.9e-07,5.3e-07,0.67818517,1.4e-07,1.7e-07
2010-11-01,1e-07,1.3e-07,1.3e-07,7e-08,2.6e-07,1.6e-07,1.3e-07,2.4e-07,0.32777816,1.3e-07,1.2e-07,2.2e-07,1.2e-07,1.3e-07,3.4e-07,0.67221933,1e-07,1e-07
2010-12-01,1.4e-07,1.7e-07,1.7e-07,1.1e-07,2.7e-07,2.2e-07,1.7e-07,3.2e-07,0.29607839,1.7e-07,1.5e-07,2.9e-07,1.6e-07,1.7e-07,4.4e-07,0.70391837,1.3e-07,1.6e-07
