,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2010-03-01,9e-08,1.4e-07,0.00103136,0.00492586,0.0235436,1.2e-07,1.4e-07,0.0178071,0.26731521,1.9e-07,0.03939914,1.8e-07,1.3e-07,1.5e-07,3.3e-07,0.63880901,9e-08,0.00716716
2010-04-01,8e-08,1.4e-07,1.1e-07,0.01326163,0.02596323,1.1e-07,1.5e-07,0.00483575,0.27331214,1.7e-07,0.04977575,1.6e-07,1.3e-07,1.6e-07,3.4e-07,0.62886277,9e-08,0.00398709
2010-05-01,8e-08,1.7e-07,1.2e-07,0.01163677,0.02172428,1.2e-07,1.8e-07,0.00975047,0.26105003,0.00067687,0.02931342,1.8e-07,1.6e-07,1.6e-07,0.00170619,0.66286609,1e-07,0.0012746
2010-06-01,9e-08,1.6e-07,1.2e-07,0.0362374,0.02844375,1.1e-07,1.6e-07,0.02764544,0.20793037,1.5e-07,0.04981324,1.8e-07,1.4e-07,1.6e-07,3.7e-07,0.64815294,9e-08,0.00177513
2010-07-01,8e-08,1.6e-07,0.00075785,0.0299008,0.03097213,1e-07,1.6e-07,0.00228769,0.20405155,1.4e-07,0.03972764,1.5e-07,1.3e-07,1.4e-07,4.5e-07,0.68502495,9e-08,0.0072758
2010-08-01,1.1e-07,3.4e-07,1.7e-07,0.01405255,0.022018,1.4e-07,3.7e-07,0.00162826,0.21396619,3.2e-07,0.04106443,2e-07,0.00051293,2.3e-07,6.7e-07,0.69665365,1.4e-07,0.01010131
2010-09-01,9e-08,1.5e-07,1.2e-07,0.00876839,0.01551033,1.2e-07,1.6e-07,0.01329656,0.29521721,1.8e-07,0.03442701,1.6e-07,1.2e-07,1.4e-07,4e-07,0.63277313,9e-08,5.64e-06
2010-10-01,6e-08,1.1e-07,9e-08,0.0090392,0.03860427,9e-08,1.2e-07,0.00267917,0.2666254,1.2e-07,0.02841934,1.3e-07,9e-08,9e-08,3.6e-07,0.65361804,7e-08,0.00101325
2010-11-01,5e-08,9e-08,7e-08,0.00433523,0.03885823,8e-08,9e-08,0.0058574,0.27607027,9e-08,0.02053492,1.1e-07,7e-08,8e-08,2.2e-07,0.65434283,6e-08,1.2e-07
2010-12-01,5e-08,7e-08,6e-08,0.01042101,0.02664602,7e-08,8e-08,0.0059947,0.27580144,0.00044556,0.02369694,9e-08,6e-08,7e-08,1.7e-07,0.65697721,5e-08,1.633e-05
2011-01-01,6e-08,8e-08,7e-08,0.00030445,0.01904285,9e-08,8e-08,0.00494725,0.28521081,1e-07,0.03432641,1.1e-07,7e-08,8e-08,1.9e-07,0.65606996,6e-08,9.729e-05
2011-02-01,8e-08,1.7e-07,1.3e-07,0.01969165,0.02943899,1.2e-07,1.8e-07,0.00839139,0.25079039,0.00170996,0.04803549,1.7e-07,1.4e-07,1.4e-07,2.8e-07,0.63500421,1e-07,0.00693642
2011-03-01,6e-08,1.5e-07,9e-08,0.027783,0.03436654,9e-08,1.6e-07,0.01257493,0.21872646,1.2e-07,0.02392067,1.2e-07,9e-08,1e-07,2e-07,0.6748973,8e-08,0.00772984
2011-04-01,5e-08,1e-07,8e-08,0.01145466,0.05145573,8e-08,1.1e-07,0.00388316,0.19060767,1e-07,0.02269238,1.1e-07,8e-08,9e-08,2.4e-07,0.71789503,6e-08,0.00201028
2011-05-01,6e-08,1.1e-07,9e-08,0.00794376,0.01665507,9e-08,1.2e-07,0.00582072,0.16139385,0.0034648,0.02222975,1.3e-07,8e-08,1e-07,2.5e-07,0.77816358,7e-08,0.00432737
2011-06-01,6e-08,1e-07,1e-07,0.01141964,0.01782747,9e-08,1e-07,2.8e-07,0.09431663,1e-07,0.01813638,1.1e-07,9e-08,1e-07,2.6e-07,0.85670633,6e-08,0.00159212
2011-07-01,5e-08,8e-08,7e-08,0.00694417,0.00927016,7e-08,8e-08,0.00500438,0.08735256,8e-08,0.02055346,9e-08,6e-08,7e-08,1.6e-07,0.87075764,5e-08,0.00011676
2011-08-01,5e-08,8e-08,7e-08,0.00276936,0.00212847,8e-08,8e-08,0.00191305,0.10047568,0.00139216,0.01504826,1e-07,7e-08,7e-08,1.7e-07,0.87199251,5e-08,0.00427969
2011-09-01,9e-08,1.7e-07,1.3e-07,0.00058963,0.00497119,1.3e-07,1.8e-07,0.00692229,0.09481278,1.9e-07,0.0154667,1.7e-07,1.3e-07,1.4e-07,3.3e-07,0.87372926,1.2e-07,0.00350637
2011-10-01,6e-08,1.1e-07,9e-08,0.0176596,0.00394034,1e-07,1.1e-07,0.0075452,0.07978991,1.1e-07,0.01396467,1.1e-07,1e-07,9e-08,2e-07,0.87531018,7e-08,0.00178893
2011-11-01,7e-08,2.9e-07,1.1e-07,0.00775175,0.01257972,9e-08,0.00095252,0.00552601,0.10335757,1.5e-07,0.03723866,1.2e-07,1.1e-07,1.2e-07,3.7e-07,0.82905975,9e-08,0.00353249
