Time Period,USD,AUD,CAD,EUR,BRL,CHF,DKK,GBP,CZK,HUF,JPY,KRW,ZAR,TWD,TRY,SGD,SEK,PLN,NZD,NOK,MXN
20000103,0.05744851,0.05039201,0.049738794,0.030883073,0.2024069,0.014590955,0.033107576,0.055867248,0.051595121,0.13608553,0.003345358,,0.11552539,0.042921671,0.40852455,0.022478529,0.033379543,0.16395318,0.050889864,0.056439512,0.16361486
20000104,0.057044921,0.050889864,0.048338638,0.031085318,0.20397146,0.013882091,0.033410884,0.057857613,0.051090383,0.13357967,0.000304163,,0.11165689,0.042921671,0.38892197,0.021230847,0.033379543,0.16395318,0.049396239,0.055632252,0.16521449
20000105,0.057439484,0.051081861,0.048798195,0.031385983,0.20392789,0.01307144,0.033407829,0.056455674,0.052092415,0.13653574,0.001115222,,0.10976653,0.042916631,0.30992264,0.01998194,0.033534182,0.16387991,0.050484609,0.055422026,0.1651401
20000106,0.057443997,0.050488096,0.048335441,0.030679536,0.18953458,0.013375488,0.031791764,0.05616151,0.052600749,0.13355532,0.000405548,,0.11318655,0.042919151,0.3001818,0.019462586,0.033378018,0.16312792,0.050089856,0.05512353,0.16517729
20000107,0.057246717,0.050591155,0.048493997,0.030883073,0.18559208,0.01367955,0.033916382,0.0560663,0.051090383,0.13357967,0.000709701,,0.11258501,0.042921671,0.29041651,0.019359076,0.034011412,0.16267108,0.049694979,0.055632252,0.16521449
20000110,0.057145819,0.050093288,0.048493997,0.031085318,0.20154978,0.014793481,0.032905366,0.05487194,0.052099839,0.13608553,0.000709701,,0.11413303,0.042921671,0.26951206,0.020606957,0.034011412,0.16257245,0.0495954,0.056439512,0.16521449
20000111,0.05744851,0.050889864,0.048338638,0.030984196,0.20154978,0.01367955,0.033613086,0.056563914,0.05230172,0.13508324,0.001013845,,0.11490648,0.042921671,0.32991764,0.021230847,0.034011412,0.16326284,0.049694979,0.055228601,0.15731382
20000112,0.05733862,0.049887326,0.047087626,0.031082674,0.20094139,0.013577774,0.033407829,0.056555164,0.052092415,0.13553425,0.000202776,,0.11316906,0.042916631,0.32962255,0.021229613,0.034008246,0.16378139,0.050185972,0.055623788,0.15724635
20000113,0.057242235,0.050189417,0.047090659,0.031185109,0.18704135,0.014590664,0.033914808,0.05616151,0.051793342,0.13455737,0.000506933,,0.11225877,0.042919151,0.3199158,0.019982486,0.034009829,0.16480366,0.049990293,0.054921729,0.15728008
20000114,0.057650299,0.050690725,0.047716182,0.030984196,0.18534257,0.01398336,0.032096491,0.055668193,0.051797011,0.13608553,0.000506934,,0.11227598,0.042921671,0.31018365,0.019775084,0.033694976,0.16513652,0.049894135,0.055026771,0.15731382
