,Markowitz based on Sample Estimates,Naive Equally Weighted,Markowitz based on Shrinkage,Constrained,Resampling-based Estimation
2010-03-01,-0.08042392582385002,-0.006641111642399999,-0.10394962497169999,-0.01211559953734,-0.07139438083204
2010-04-01,-0.05279412462169995,-0.00293616690156,-0.01995013179844,-0.01966860017884,-0.07263087426748996
2010-05-01,-0.041904516250979906,0.04675728151836,-0.03658626330876001,0.05943980425645,-0.06345656861390947
2010-06-01,-0.02693123490336008,0.01328161217364,-0.010986884408879995,0.010717567185570003,-0.038566419200070146
2010-07-01,-0.03845191493673017,-0.028526724504359998,-0.018451623261730013,0.008881900000000003,-0.07047358618549948
2010-08-01,-0.02914664424138999,-0.012611445453360001,-0.023719292509629997,-0.00923100012703,-0.031414538425609984
2010-09-01,-0.06737284801089002,-0.01533105678204,-0.07454914727066,0.0074201001390500005,-0.09259360719397
2010-10-01,0.024619659951029993,-0.036928002954239994,0.014962630643350003,-0.031128099827149994,0.019153399314929986
2010-11-01,-0.030114564988280024,0.00862066735632,-0.03965804060531,0.022254299671740002,-0.043106689609610005
2010-12-01,-0.030493263172829965,0.01408789001592,-0.049467766530679996,0.023782780633310005,-0.02865598036952005
2011-01-01,-0.053781449442100004,-0.011018445325920001,-0.06583201188455001,0.023904501287169998,-0.06579299807175998
2011-02-01,-0.010566570868319913,-0.0072746672486399995,-0.013242012597350004,0.021972200752290005,-0.012565657944320019
2011-03-01,-0.006468218963789962,-0.01062566751672,-0.001199056003500002,-0.010246999487659999,-0.008611610577389905
2011-04-01,-0.005023310318049923,-0.02681239103388,-0.009444298075280001,-0.0350377,-0.004163168509039972
2011-05-01,-0.03878316328574001,0.006257333833919999,-0.050265640824230004,0.046685796004650004,-0.04231601284930994
2011-06-01,-0.02157281642177001,-0.0018100557003599995,-0.023426381306760002,0.01911857468647,-0.028533510146230012
2011-07-01,-0.06473078679640995,-0.0010582223068799996,-0.07617261343645,0.02660065305288,-0.08997130841094
2011-08-01,-0.033353966519739986,0.009852111899279998,-0.05439989523827,0.08387018412049,-0.040744479347549996
2011-09-01,0.06917962021897994,0.048587503887000005,0.018834637865540006,0.10320149185035,0.05901725290619009
2011-10-01,0.02636018723089,0.01738294583508,-0.0025203644609499993,0.05887989855832001,0.027420658525850003
2011-11-01,0.01868820185254999,0.01640033464536,-0.002046276066029997,0.030686200000000004,0.06510271290583003
2011-12-01,-0.008404325995010065,0.0174766680648,-0.0326416491569,0.0313613,-0.010007444713090008
2012-01-01,-0.03767874896304001,-0.00393877809288,-0.03674321205459001,-0.013043700000000002,-0.03796234440756002
2012-02-01,0.018170270785510034,-0.029564613476279998,0.03574672508599,-0.06782869982450002,0.015243847053019982
2012-03-01,-0.01758872505253,0.01070011196712,-0.018340558736140003,0.025956100000000003,-0.020771311713059997
2012-04-01,-0.02194567025632,0.00783911173824,-0.01618945826373,0.0437066,-0.020521364202889997
